han	han+Pcle
earalágan	earálágan+Err/Orth+A+Sg+Nom
earalágan	earálágan+Err/Orth+A+Sg+Acc
earalágan	earálágan+Err/Orth+A+Sg+Gen+Err/Orth

dušše	duššat+V+IV+Ind+Prs+Du1
dušše	duššat+V+IV+Ind+Prt+Pl3
dušše	dušše+Adv

dovdduid	dovdu+N+Err/Orth+Pl+Acc
dovdduid	dovdu+N+Err/Orth+Pl+Gen
dovdduid	dovdu+N+Pl+Acc
dovdduid	dovdu+N+Pl+Gen

die	die+Adv

dáhttot	dáhttut+V+TV+Ind+Prs+Pl3
dáhttot	dáhttut+V+TV+Ind+Prt+Sg2
dáhttot	dáhttut+V+TV+Imprt+Pl2
dáhttot	dáhttut+V+TV+Imprt+Pl1
dáhttot	dáhttut+V+TV+Imprt+Pl1+Err/Orth

dađibahábut	dađibahábut+Adv

čuvgehusa	čuvgehus+N+Sg+Acc
čuvgehusa	čuvgehus+N+Sg+Gen

ceavzán	ceavzit+V+IV+PrfPrc
ceavzán	ceavzit+V+IV+Ind+Prt+ConNeg

čalbmáičuohcci	čalbmáičuohcci+A+Attr
čalbmáičuohcci	čalbmáičuohcci+A+Sg+Acc
čalbmáičuohcci	čalbmáičuohcci+A+Sg+Gen
čalbmáičuohcci	čalbmáičuohcci+A+Sg+Nom

Børretzen	Børretzen+Err/Orth+N+Prop+Sem/Sur+Attr
Børretzen	Børretzen+Err/Orth+N+Prop+Sem/Sur+Sg+Acc
Børretzen	Børretzen+Err/Orth+N+Prop+Sem/Sur+Sg+Gen
Børretzen	Børretzen+Err/Orth+N+Prop+Sem/Sur+Sg+Nom
Børretzen	Børretzen+N+Prop+Sem/Sur+Attr
Børretzen	Børretzen+N+Prop+Sem/Sur+Sg+Acc
Børretzen	Børretzen+N+Prop+Sem/Sur+Sg+Nom

buotlágán	buotlágan+v2+A+Attr
buotlágán	buotlágan+v2+A+Sg+Nom
buotlágán	buotlágan+v2+A+Sg+Acc
buotlágán	buotlágan+v2+A+Sg+Gen+Err/Orth

bissehit	bissehit+V+TV+Inf
bissehit	bissehit+V+TV+Ind+Prs+Pl1
bissehit	bissehit+V+TV+Ind+Prs+Pl3
bissehit	bissehit+V+TV+Ind+Prt+Sg2

biigán	biigá+N+Ess

biigá	biigá+N+Sg+Nom

beal	beal+Po

baljo	baljo+Adv

badjelgehčče	badjelgeahččat+V+TV+Ind+Prs+Du1
badjelgehčče	badjelgeahččat+V+TV+Ind+Prt+Pl3

ásaiduvve	ásaiduvvat+V+IV+Ind+Prs+Du1
ásaiduvve	ásaiduvvat+V+IV+Ind+Prt+Pl3

arvat	arvat+V+IV+Inf
arvat	arvat+V+IV+Ind+Prs+Pl1
arvat	arvat+Adv

